Wavelength nm.	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...
541	1,153641	0,732147	0,797226	0,337082	0,232788	0,254242	0,423401	0,262848
542	1,159714	0,743973	0,810303	0,341522	0,235565	0,256836	0,429596	0,265045
543	1,165909	0,755722	0,823563	0,346176	0,238434	0,259628	0,435883	0,267456
544	1,17215	0,767639	0,837067	0,350922	0,241455	0,262451	0,442169	0,269989
545	1,178162	0,779282	0,850082	0,355392	0,244324	0,265121	0,448151	0,272385
546	1,183914	0,790863	0,86293	0,359787	0,247116	0,267838	0,454163	0,27478
547	1,189575	0,802231	0,875504	0,364166	0,249893	0,270477	0,460098	0,277191
548	1,19545	0,813629	0,887955	0,368652	0,252731	0,273041	0,46611	0,279709
549	1,201172	0,824936	0,90036	0,373062	0,255615	0,275787	0,472046	0,282242
550	1,206619	0,835876	0,91246	0,377411	0,258331	0,278442	0,477798	0,284729
551	1,212341	0,846817	0,924805	0,381836	0,261063	0,281143	0,483734	0,287277
552	1,217697	0,857162	0,936356	0,385971	0,263733	0,283691	0,489212	0,289749
553	1,22319	0,867783	0,948135	0,390259	0,266495	0,286362	0,494843	0,292389
554	1,228394	0,878174	0,959747	0,39444	0,26918	0,289001	0,50032	0,294968
555	1,233536	0,888397	0,971054	0,398651	0,271896	0,291656	0,505829	0,297638
556	1,238556	0,898285	0,981812	0,40271	0,274445	0,294189	0,511154	0,30014
557	1,243561	0,908051	0,992432	0,406708	0,277008	0,296646	0,516327	0,302719
558	1,248474	0,917679	1,003006	0,410797	0,279602	0,29921	0,521561	0,305283
559	1,253387	0,927368	1,013763	0,414932	0,28215	0,301819	0,526993	0,307983
560	1,258041	0,936478	1,023972	0,418915	0,284729	0,304367	0,532028	0,310638
561	1,262695	0,945847	1,034134	0,422821	0,287216	0,30687	0,537079	0,313278
562	1,267227	0,954865	1,043915	0,426666	0,289825	0,309418	0,541977	0,315918
563	1,271759	0,963989	1,053787	0,430618	0,292313	0,311951	0,546997	0,318588
564	1,275894	0,972458	1,062927	0,43428	0,294632	0,314194	0,551682	0,321045
565	1,280411	0,98143	1,07251	0,438354	0,297226	0,316788	0,556686	0,323853
566	1,284653	0,990128	1,081696	0,442123	0,299667	0,319183	0,561447	0,326462
567	1,288712	0,998413	1,0905	0,445801	0,302048	0,321564	0,566101	0,328979
568	1,292587	1,006287	1,098999	0,449356	0,304214	0,323761	0,570541	0,331375
569	1,296448	1,014069	1,107269	0,452942	0,306534	0,326096	0,574936	0,333923
570	1,300201	1,021973	1,115662	0,456406	0,308777	0,328339	0,579285	0,336395
571	1,303619	1,029205	1,123306	0,459641	0,310837	0,330414	0,583313	0,338623
572	1,307266	1,036789	1,131226	0,463196	0,313126	0,332672	0,587677	0,341095
573	1,310654	1,043991	1,138504	0,466568	0,315292	0,334717	0,591827	0,343414
574	1,314117	1,051208	1,145782	0,469879	0,317368	0,336731	0,595901	0,345673
575	1,317276	1,058228	1,152847	0,473053	0,319443	0,338791	0,599945	0,347855
